Ensembl_ID	HGNC_ID	Expression_value
ENSG00000000003	HGNC:11858	6289.63846
ENSG00000000005	HGNC:17757	0
ENSG00000000419	HGNC:3005	6726.650828
ENSG00000000457	HGNC:19285	1708.632563
ENSG00000000460	HGNC:25565	5617.92698
ENSG00000000938	HGNC:3697	0
ENSG00000000971	HGNC:4883	0
ENSG00000001036	HGNC:4008	5645.013076
ENSG00000001084	HGNC:4311	7540.8384
ENSG00000001167	HGNC:7804	4131.6705
ENSG00000001460	HGNC:28070	2470.867328
ENSG00000001461	HGNC:25233	2936.620654
ENSG00000001497	HGNC:25726	5847.97836
ENSG00000001561	HGNC:3359	0
ENSG00000001617	HGNC:10728	9645.144804
ENSG00000001626	HGNC:1884	0
ENSG00000001629	HGNC:22215	6113.901731
ENSG00000001630	HGNC:2649	5880.446218
ENSG00000001631	HGNC:1573	7849.29227
ENSG00000002016	HGNC:9824	3124.484687
ENSG00000002079	HGNC:31038	0
ENSG00000002330	HGNC:936	746.073264
ENSG00000002549	HGNC:18449	7189.754
ENSG00000002586	HGNC:7082	10258.391305
ENSG00000002587	HGNC:5194	0
ENSG00000002726	HGNC:80	0
ENSG00000002745	HGNC:16267	0
ENSG00000002746	HGNC:22195	0
ENSG00000002822	HGNC:6762	7460.188707
ENSG00000002834	HGNC:6513	4466.510982
ENSG00000002919	HGNC:14975	2225.42697
ENSG00000002933	HGNC:24930	0
ENSG00000003056	HGNC:6752	3241.4613
ENSG00000003096	HGNC:22931	221.601382
ENSG00000003137	HGNC:20581	0
ENSG00000003147	HGNC:5343	0
ENSG00000003249	HGNC:28455	1806.576331
ENSG00000003393	HGNC:443	11362.126075
ENSG00000003400	HGNC:1500	3571.780016
ENSG00000003402	HGNC:1876	7924.645958
ENSG00000003436	HGNC:11760	16093.118524
ENSG00000003509	HGNC:28816	6142.122133
ENSG00000003756	HGNC:9902	17399.18648
ENSG00000003987	HGNC:7454	1136.12839
ENSG00000003989	HGNC:11060	8614.111493
ENSG00000004059	HGNC:658	5641.668996
ENSG00000004139	HGNC:17074	343.006151
ENSG00000004142	HGNC:23781	6803.847
ENSG00000004399	HGNC:9107	15415.86741
ENSG00000004455	HGNC:362	6768.645153
ENSG00000004468	HGNC:1667	0
ENSG00000004478	HGNC:3720	5071.909
ENSG00000004487	HGNC:29079	11926.141626
ENSG00000004534	HGNC:9903	16006.695094
ENSG00000004660	HGNC:1469	1715.068701
ENSG00000004700	HGNC:9948	4413.90506
ENSG00000004766	HGNC:25956	6426.360882
ENSG00000004776	HGNC:26511	107.62677
ENSG00000004777	HGNC:23085	4880.238795
ENSG00000004779	HGNC:7694	3940.08386
ENSG00000004799	HGNC:8812	0
ENSG00000004809	HGNC:20302	226.132754
ENSG00000004838	HGNC:19412	383.876753
ENSG00000004846	HGNC:46	0
ENSG00000004848	HGNC:18060	0
ENSG00000004864	HGNC:10983	9262.97159
ENSG00000004866	HGNC:11351	5601.967305
ENSG00000004897	HGNC:1728	6548.9557
ENSG00000004939	HGNC:11027	0
ENSG00000004948	HGNC:1440	0
ENSG00000004961	HGNC:4837	3036.866676
ENSG00000004975	HGNC:3086	6160.4745
ENSG00000005001	HGNC:14368	0
ENSG00000005007	HGNC:9962	12598.611082
ENSG00000005020	HGNC:15687	4154.24426
ENSG00000005022	HGNC:10991	5163.3626
ENSG00000005059	HGNC:26076	1090.695113
ENSG00000005073	HGNC:5101	0
ENSG00000005075	HGNC:9197	3668.2248
ENSG00000005100	HGNC:16718	4485.4026
ENSG00000005102	HGNC:7013	0
ENSG00000005108	HGNC:22207	0
ENSG00000005156	HGNC:6600	6416.4592
ENSG00000005175	HGNC:26151	4677.2946
ENSG00000005187	HGNC:10522	6306.2984
ENSG00000005189	HGNC:24661	5519.302584
ENSG00000005194	HGNC:28050	3676.262908
ENSG00000005206	HGNC:30627	7408.63396
ENSG00000005238	HGNC:25666	1345.93426
ENSG00000005243	HGNC:19356	599.08302
ENSG00000005249	HGNC:9392	0
ENSG00000005302	HGNC:7370	2528.281135
ENSG00000005339	HGNC:2348	10391.1994
ENSG00000005379	HGNC:16831	0
ENSG00000005381	HGNC:7218	0
ENSG00000005421	HGNC:9204	297.0558
ENSG00000005436	HGNC:1317	6675.13707
ENSG00000005448	HGNC:25770	3813.837754
ENSG00000005469	HGNC:2366	3908.53212
ENSG00000005471	HGNC:45	10369.476187
ENSG00000005483	HGNC:18541	7563.270058
ENSG00000005486	HGNC:23082	3335.736555
ENSG00000005513	HGNC:11203	148.02087
ENSG00000005700	HGNC:17853	11096.217926
ENSG00000005801	HGNC:12986	1781.508972
ENSG00000005810	HGNC:23386	19493.116831
ENSG00000005812	HGNC:13599	2252.270044
ENSG00000005844	HGNC:6148	3321.236692
ENSG00000005882	HGNC:8810	5376.6269
ENSG00000005884	HGNC:6139	215.094316
ENSG00000005889	HGNC:12869	3356.683461
ENSG00000005893	HGNC:6501	7887.057118
ENSG00000005955	NA	7224.667462
ENSG00000005961	HGNC:6138	3072.625918
ENSG00000005981	HGNC:16009	241.547244
ENSG00000006007	HGNC:29644	3207.8988
ENSG00000006015	HGNC:26098	1788.967832
ENSG00000006016	HGNC:2364	6542.1792
ENSG00000006025	HGNC:16387	4265.763631
ENSG00000006042	HGNC:24529	5048.47948
ENSG00000006047	HGNC:17948	620.3907
ENSG00000006059	HGNC:6450	0
ENSG00000006062	HGNC:6853	1957.4029
ENSG00000006071	HGNC:59	0
ENSG00000006074	NA	0
ENSG00000006075	NA	0
ENSG00000006114	NA	6462.30385
ENSG00000006116	HGNC:1407	0
ENSG00000006118	HGNC:31092	5394.9592
ENSG00000006125	HGNC:563	11007.1209
ENSG00000006128	HGNC:11517	0
ENSG00000006194	HGNC:13056	1825.9332
ENSG00000006210	HGNC:10647	1629.0831
ENSG00000006282	HGNC:26125	8613
ENSG00000006283	HGNC:1394	0
ENSG00000006327	HGNC:18152	2636.0823
ENSG00000006377	HGNC:2919	1203.81783
ENSG00000006432	HGNC:6861	2329.7287
ENSG00000006451	HGNC:9839	2653.58852
ENSG00000006453	HGNC:21649	5336.955068
ENSG00000006459	HGNC:22224	6987.898277
ENSG00000006468	HGNC:3490	0
ENSG00000006530	HGNC:21869	3764.040072
ENSG00000006534	HGNC:410	2009.547863
ENSG00000006555	HGNC:26067	0
ENSG00000006576	HGNC:13411	3642.547037
ENSG00000006606	HGNC:10625	0
ENSG00000006607	HGNC:16460	6578.287496
ENSG00000006611	HGNC:12597	0
ENSG00000006625	HGNC:21705	2632.238416
ENSG00000006634	HGNC:17364	3409.242906
ENSG00000006638	HGNC:11608	0
ENSG00000006652	HGNC:5456	5953.527158
ENSG00000006659	HGNC:30054	599.42894
ENSG00000006695	HGNC:2260	2032.56228
ENSG00000006704	HGNC:4661	10861.068172
ENSG00000006712	HGNC:25459	6983.83879
ENSG00000006715	HGNC:12713	11396.872038
ENSG00000006740	HGNC:29096	1211.907382
ENSG00000006744	HGNC:14198	10061.214227
ENSG00000006747	HGNC:21695	0
ENSG00000006756	HGNC:717	2640.893956
ENSG00000006757	HGNC:24887	2703.3675
ENSG00000006788	HGNC:7571	0
ENSG00000006831	HGNC:24041	4349.992
ENSG00000006837	HGNC:15483	1306.995658
ENSG00000007001	HGNC:23061	210.689461
ENSG00000007038	HGNC:9485	0
ENSG00000007047	HGNC:13538	6950.548795
ENSG00000007062	HGNC:9454	8306.8272
ENSG00000007080	HGNC:25171	2348.24719
ENSG00000007129	HGNC:28834	0
ENSG00000007168	HGNC:8574	4197.61568
ENSG00000007171	HGNC:7873	0
