HGNC ID	Gene group ID	Pubmed IDs	NCBI Gene ID
HGNC:5	594	2591067	'1'
HGNC:37133	1987		503538
HGNC:24086	725	11815617, 11072063	29974
HGNC:6			
HGNC:7	1234	2408344, 9697696	2
HGNC:27057	1987		144571
HGNC:23336	1234	16298998	144568
HGNC:41022	1987		
HGNC:41523	1987		
HGNC:8		2478422	3
HGNC:9			
HGNC:10			
HGNC:30005	429	10854427, 18630988	127550
HGNC:18149	442|454	10854428, 20971946	53947
HGNC:17968	442	10430883	51146
HGNC:1			
HGNC:2			
HGNC:3			
HGNC:4			
HGNC:11		7795606	
HGNC:13666	362|1051	11062474, 12196509	8086
HGNC:12			
HGNC:13			
HGNC:14			
HGNC:21298	40	12623130, 17762044	65985
HGNC:18226			729522
HGNC:13792			
HGNC:17	465|464	8063807	13
HGNC:24427	465	25715734	344752
HGNC:50301	1987		101928142
HGNC:32037	465		126767
HGNC:32038	465		343066
HGNC:50305			201651
HGNC:17929		12126930, 10441733, 18056995	51166
HGNC:25662		11230166, 10477754	79719
HGNC:19679	1835	11877461, 12471243	22848
HGNC:30205		22279136	28971
HGNC:18	362	7743515	14
HGNC:19	1134	8661026	15
HGNC:15886		26527271	25980
HGNC:33842		27959439	441376
HGNC:20	132	8595897	16
HGNC:49894			
HGNC:21022	132	15779907, 21549344	57505
HGNC:28417		26884463	80755
HGNC:23993	40	15865210, 12712191, 17762044	132949
HGNC:14235		12815048, 11286508, 18022563	60496
HGNC:17366		10775527	10157
HGNC:51526	1992	25473900	284837
HGNC:19235	1691	11027528, 10783144	26574
HGNC:21	694|321|1691	9734811, 10083745, 22573681	9625
HGNC:22		1334463	17
HGNC:49667	1992		103021294
HGNC:23		7721088	18
HGNC:24			
HGNC:25			
HGNC:26			
HGNC:28			
HGNC:27			
HGNC:29	805	8088782, 10431236, 10431237, 10431238	19
HGNC:32	805	8088782	20
HGNC:33	805	8706931	21
HGNC:34	805	9490294	24
HGNC:35	805	8894702	23461
HGNC:36	805|1691	8894702	23460
HGNC:37	805	10873640, 11435699, 12917409	10347
